VERTICES;ARISTAS;TIEMPO;CORTE
494;586;0,0452252;198
494;586;0,0324622;198
662;906;0,0452975;203
685;1282;0,0626097;388
130;715;0,0146856;188
292;958;0,0288188;291
85;219;0,0085643;2
39;46;0,003293;2
49;59;0,0076602;2
118;179;0,0133745;0
274;669;0,0320464;310
443;590;0,0504585;119
48;176;0,0105478;0
132;1758;0,014979;854
153;1135;0,0160567;389
420;3720;0,0320133;468
467;1295;0,0343929;383
110;254;0,0066772;62
420;3416;0,0307578;460
144;576;0,0106974;242
161;608;0,0137832;255
292;1124;0,0328019;527
445;1682;0,0501592;861
54;124;0,0036843;0
209;767;0,0197151;328
221;704;0,0421011;281
117;162;0,0067243;0
245;608;0,0185505;221
310;1069;0,0208519;351
361;1296;0,025707;344
419;1572;0,0320719;696
503;2762;0,047168;1255
592;2256;0,0447779;1015
183;701;0,0138126;243
541;2466;0,0438915;833
680;1464;0,051843;624
104;549;0,006529;268
216;660;0,0161174;85
115;267;0,0075287;119
185;650;0,0151503;290
343;1092;0,0217463;158
512;1680;0,0366673;251
434;2138;0,0330723;679
32;90;0,0025225;2
206;557;0,0258541;290
59;281;0,0034532;0
137;352;0,0083485;155
425;1267;0,032618;571
225;1187;0,017539;610
123;275;0,0066003;40
503;1425;0,0404054;289
147;1151;0,0096794;642
147;1147;0,0121349;577
487;41686;0,1406828;20244
168;1662;0,0180972;835
261;794;0,0179026;350
666;2148;0,0501851;964
158;312;0,0134094;37
638;1272;0,0474906;206
100;247;0,0084085;111
468;2352;0,0350714;1039
675;1290;0,0522628;200
362;2712;0,0297609;1263
362;880;0,0250126;158
30;103;0,002016;0
456;1769;0,0400377;777
238;445;0,0156931;86
681;1373;0,0463854;221
546;1341;0,0435474;217
663;1720;0,0492219;770
663;1709;0,0479992;743
663;1682;0,064581;830
240;1761;0,0186591;813
600;6580;0,0653034;3076
80;424;0,0045234;1
363;3049;0,0269584;58
363;3244;0,0265503;51
363;3244;0,0292858;51
363;2446;0,0282551;44
132;404;0,0102066;146
156;371;0,0133556;192
167;489;0,0135012;249
381;2150;0,0300425;976
479;1889;0,0426505;898
497;1715;0,0348433;578
655;2841;0,0649751;1325
199;660;0,0203321;266
57;127;0,0043002;0
