VERTICES;ARISTAS;TIEMPO;CORTE
494;586;2,7866287;174
494;586;0,6339317;170
662;906;0,4004222;192
685;1282;0,4367112;397
130;715;0,0731762;158
292;958;0,185066;316
85;219;0,052803;2
39;46;0,0190794;2
49;59;0,0237635;2
118;179;0,0825248;0
274;669;0,1672404;306
443;590;0,2648717;116
48;176;0,0243819;0
132;1758;0,0869701;736
153;1135;0,0847826;571
420;3720;0,2497561;559
467;1295;0,0332948;438
110;254;0,0069403;42
420;3416;0,044955;530
144;576;0,0173736;261
161;608;0,0149484;248
292;1124;0,0271939;521
445;1682;0,0342681;785
54;124;0,0075713;0
209;767;0,0176462;297
221;704;0,0168041;268
117;162;0,0109689;0
245;608;0,0190391;224
310;1069;0,0215834;366
361;1296;0,0271302;408
419;1572;0,0372132;739
503;2762;0,0389086;1232
592;2256;0,0524592;914
183;701;0,0151028;231
541;2466;0,0424748;1183
680;1464;0,0670337;718
104;549;0,012848;287
216;660;0,0220694;91
115;267;0,0097173;129
185;650;0,0146991;303
343;1092;0,0290826;143
512;1680;0,0422761;250
434;2138;0,0414754;642
32;90;0,0042558;2
206;557;0,0173017;239
59;281;0,0061602;0
137;352;0,0115961;168
425;1267;0,0508932;582
225;1187;0,0211729;523
123;275;0,0072146;56
503;1425;0,0393543;344
147;1151;0,0237666;470
147;1147;0,0143174;554
487;41686;0,1561858;21264
168;1662;0,017294;755
261;794;0,0189594;353
666;2148;0,0514246;971
158;312;0,0135685;39
638;1272;0,0535843;195
100;247;0,0086694;112
468;2352;0,0379115;1122
675;1290;0,0503982;179
362;2712;0,0313079;1323
362;880;0,0224887;115
30;103;0,0052096;0
456;1769;0,0364863;882
238;445;0,0224373;82
681;1373;0,0463505;222
546;1341;0,049448;217
663;1720;0,049379;789
663;1709;0,0486757;850
663;1682;0,066653;750
240;1761;0,0223563;814
600;6580;0,0800416;3099
80;424;0,0051034;1
363;3049;0,0261612;58
363;3244;0,0262409;51
363;3244;0,0290688;51
363;2446;0,0257549;44
132;404;0,0115871;131
156;371;0,0115101;156
167;489;0,0129093;214
381;2150;0,0319743;1058
479;1889;0,0381278;845
497;1715;0,0354788;563
655;2841;0,0652081;1334
199;660;0,0143387;284
57;127;0,0039456;0
