VERTICES;ARISTAS;TIEMPO;CORTE
494;586;0,0231312;30
494;586;0,0122136;30
662;906;0,0135912;63
662;906;0,0120429;63
685;1282;0,016605;74
130;715;0,0043571;378
292;958;0,0050506;62
85;219;0,0008076;22
39;46;0,0002878;5
49;59;0,0003037;8
118;179;0,000737;19
274;669;0,004554;61
443;590;0,0043251;33
48;176;0,0012334;50
66;2145;0,0165289;1089
132;1758;0,0083216;464
153;1135;0,0036616;150
420;3720;0,0415711;449
467;1295;0,0104901;37
110;254;0,0018101;17
420;3416;0,0434688;451
144;576;0,0022568;27
161;608;0,0034689;48
292;1124;0,0106538;201
445;1682;0,0255188;163
54;124;0,0011336;26
209;767;0,005474;81
221;704;0,0033618;38
117;162;0,0015628;13
245;608;0,0031906;42
310;1069;0,0044916;50
361;1296;0,0170442;54
419;1572;0,0144211;140
503;2762;0,0325529;252
592;2256;0,0279464;162
183;701;0,0083776;393
541;2466;0,1069179;564
680;1464;0,039834;170
104;549;0,0056602;111
216;660;0,0065442;82
115;267;0,0067279;54
185;650;0,0041901;61
343;1092;0,0190087;116
512;1680;0,0482348;220
434;2138;0,0293795;201
32;90;0,0007035;35
206;557;0,0094808;100
59;281;0,0016907;121
137;352;0,0032644;96
425;1267;0,017287;106
225;1187;0,0181579;263
123;275;0,0016849;44
503;1425;0,0233878;189
147;1151;0,0122102;242
147;1147;0,0079631;232
487;41686;1,2381475;24705
168;1662;0,0099448;419
261;794;0,0043966;63
666;2148;0,0138008;113
158;312;0,0010744;4
638;1272;0,0081892;4
100;247;0,002051;12
468;2352;0,0759971;365
675;1290;0,0135614;40
362;2712;0,0464866;243
362;880;0,0076191;44
30;103;0,0005931;19
456;1769;0,0123883;45
238;445;0,0032766;27
681;1373;0,0191303;80
546;1341;0,0119113;52
663;1720;0,1429806;544
663;1709;0,1553269;533
663;1682;0,0607472;526
240;1761;0,0106606;272
600;6580;0,0465357;435
80;424;0,0014644;20
363;3049;0,0414774;907
363;3244;0,0513711;854
363;3244;0,0423734;854
363;2446;0,0322085;720
132;404;0,0025893;127
156;371;0,0027937;68
167;489;0,0034327;87
381;2150;0,0441432;816
479;1889;0,0423089;453
497;1715;0,0339252;492
655;2841;0,0791442;675
199;660;0,0080094;168
57;127;0,0005404;19
