VERTICES;ARISTAS;TIEMPO;CORTE
494;586;0,3879635;290
494;586;0,0987361;290
662;906;0,138409;449
662;906;0,1736713;449
685;1282;0,1608837;732
130;715;0,0099862;570
292;958;0,0528693;597
85;219;0,0035085;146
39;46;0,0009439;24
49;59;0,0009907;36
118;179;0,0041453;109
274;669;0,0430572;380
443;590;0,0522717;326
48;176;0,0023433;111
66;2145;0,0122443;1089
0;0;0;0
132;1758;0,0159569;896
153;1135;0,0124164;853
420;3720;0,2702022;2549
467;1295;0,0436237;714
110;254;0,0025653;136
420;3416;0,1035592;2196
144;576;0,0094597;384
161;608;0,0087969;418
292;1124;0,0357879;767
445;1682;0,0718259;1130
54;124;0,0015014;80
209;767;0,0141606;494
221;704;0,0142361;448
117;162;0,0026157;100
245;608;0,015737;319
310;1069;0,0354418;735
361;1296;0,0413398;923
419;1572;0,0624835;958
503;2762;0,1066127;1536
592;2256;0,1689346;1508
183;701;0,0153661;473
541;2466;0,190402;1634
680;1464;0,1589863;990
104;549;0,0060669;345
216;660;0,0137983;493
115;267;0,0032794;174
185;650;0,0099886;433
343;1092;0,0375948;842
512;1680;0,0861802;1262
434;2138;0,100793;1266
32;90;0,001348;61
206;557;0,0129425;365
59;281;0,0019618;177
137;352;0,0052906;223
425;1267;0,062488;799
225;1187;0,0213845;723
123;275;0,0061536;180
503;1425;0,0813394;904
147;1151;0,0117357;656
147;1147;0,0146782;653
487;41686;1,9064897;26348
168;1662;0,0347803;898
261;794;0,0334236;614
666;2148;0,1934398;1680
158;312;0,0048258;160
638;1272;0,0693845;640
100;247;0,0033114;179
468;2352;0,1135714;1570
675;1290;0,0774307;800
362;2712;0,0725389;1558
362;880;0,0294675;563
30;103;0,0008542;71
456;1769;0,0643725;1285
238;445;0,0093491;277
681;1373;0,1002426;863
546;1341;0,066085;861
663;1720;0,1529292;1139
663;1709;0,149147;1138
663;1682;0,1408966;1125
240;1761;0,0314073;1368
600;6580;0,2854455;5020
80;424;0,0031505;257
363;3049;0,0747015;2304
363;3244;0,1007153;2419
363;3244;0,0972377;2419
363;2446;0,093401;1915
132;404;0,0059171;250
156;371;0,0076189;251
167;489;0,0099596;327
381;2150;0,0771205;1454
479;1889;0,0882101;1200
497;1715;0,0930858;1162
655;2841;0,1916481;1807
199;660;0,0115643;462
57;127;0,0014956;73
