VERTICES;ARISTAS;TIEMPO;CORTE
494;586;0,0400726;204
494;586;0,0326479;196
662;906;0,0516441;199
685;1282;0,0623695;452
130;715;0,0132545;182
292;958;0,0235439;297
85;219;0,0112008;2
39;46;0,00287;2
49;59;0,0058576;2
118;179;0,0152164;0
274;669;0,0292361;311
443;590;0,0591942;117
48;176;0,0034503;0
132;1758;0,0169085;816
153;1135;0,0172403;524
420;3720;0,0376219;579
467;1295;0,0341085;428
110;254;0,0088512;51
420;3416;0,0334445;517
144;576;0,0145307;225
161;608;0,0218994;266
292;1124;0,0678105;577
445;1682;0,0559239;786
54;124;0,003615;0
209;767;0,0181894;307
221;704;0,0158214;266
117;162;0,0096348;0
245;608;0,0207989;189
310;1069;0,0230677;327
361;1296;0,0267943;416
419;1572;0,0335734;711
503;2762;0,0390209;1210
592;2256;0,0464073;1038
183;701;0,0136089;218
541;2466;0,0421578;1268
680;1464;0,0534676;678
104;549;0,0094684;302
216;660;0,0153288;82
115;267;0,0142536;100
185;650;0,0184653;284
343;1092;0,0583929;161
512;1680;0,0416026;278
434;2138;0,0463482;668
32;90;0,0024958;2
206;557;0,030879;237
59;281;0,0067955;0
137;352;0,0128585;146
425;1267;0,0302237;503
225;1187;0,0174734;679
123;275;0,0071838;79
503;1425;0,0358725;309
147;1151;0,0161148;437
147;1147;0,0165383;517
487;41686;0,1733396;20670
168;1662;0,015667;852
261;794;0,0212462;356
666;2148;0,0549287;992
158;312;0,0178332;37
638;1272;0,0623388;190
100;247;0,0056676;105
468;2352;0,050026;1109
675;1290;0,5620897;209
362;2712;0,0640295;1272
362;880;0,0344051;164
30;103;0,001807;0
456;1769;0,0333039;831
238;445;0,0202975;85
681;1373;0,0490257;217
546;1341;0,035823;236
663;1720;0,0509732;885
663;1709;0,0734221;794
663;1682;0,0489965;878
240;1761;0,0190805;847
600;6580;0,0636796;3180
80;424;0,0048163;1
363;3049;0,0301816;58
363;3244;0,0342012;51
363;3244;0,0676838;51
363;2446;0,0472153;44
132;404;0,0097219;131
156;371;0,0147084;160
167;489;0,0162065;251
381;2150;0,0299092;1004
479;1889;0,0346601;921
497;1715;0,0460201;546
655;2841;0,0507004;1357
199;660;0,0124146;304
57;127;0,0035739;0
