VERTICES;ARISTAS;TIEMPO;CORTE
494;586;0,0495597;30
494;586;0,0422644;30
662;906;0,0867359;63
662;906;0,0742596;63
685;1282;0,1039032;74
130;715;0,007613;378
292;958;0,0226692;62
85;219;0,0021768;23
39;46;0,0006418;5
49;59;0,0006569;8
118;179;0,0022129;19
274;669;0,0172937;61
443;590;0,0276407;33
48;176;0,0011158;50
66;2145;0,0132148;1089
132;1758;0,0176866;464
153;1135;0,0222561;150
420;3720;0,1546819;450
467;1295;0,0500717;37
110;254;0,002509;17
420;3416;0,1354531;453
144;576;0,0074395;27
161;608;0,016587;50
292;1124;0,0314674;201
445;1682;0,0715772;163
54;124;0,0008382;26
209;767;0,0133154;81
221;704;0,0165036;39
117;162;0,0022098;13
245;608;0,0115833;43
310;1069;0,0258395;50
361;1296;0,0361423;54
419;1572;0,0549201;140
503;2762;0,121924;252
592;2256;0,120319;162
183;701;0,0123929;393
541;2466;0,1555942;564
680;1464;0,110185;170
104;549;0,0050274;111
216;660;0,0138531;82
115;267;0,0031619;54
185;650;0,0099177;61
343;1092;0,0393233;116
512;1680;0,080524;220
434;2138;0,0807683;201
32;90;0,000646;35
206;557;0,0191254;100
59;281;0,0022849;122
137;352;0,0072827;96
425;1267;0,0471101;113
225;1187;0,0210451;268
123;275;0,0033203;44
503;1425;0,0941587;189
147;1151;0,0127366;248
147;1147;0,0148267;232
487;41686;1,7173558;24751
168;1662;0,0166776;419
261;794;0,016062;60
666;2148;0,0948808;116
158;312;0,0044898;4
638;1272;0,0501829;4
100;247;0,0019989;14
468;2352;0,1001349;365
675;1290;0,0762964;40
362;2712;0,060762;243
362;880;0,0180731;44
30;103;0,0005318;20
456;1769;0,0592164;45
238;445;0,0095097;27
681;1373;0,091423;80
546;1341;0,0519311;52
663;1720;0,1339911;546
663;1709;0,1347113;535
663;1682;0,1173405;527
240;1761;0,0284462;272
600;6580;0,3463195;436
80;424;0,002778;20
363;3049;0,1081942;907
363;3244;0,0954793;863
363;3244;0,1132806;863
363;2446;0,0719874;720
132;404;0,0053588;130
156;371;0,0067695;68
167;489;0,0082527;93
381;2150;0,0935774;830
479;1889;0,0967136;454
497;1715;0,0787274;518
655;2841;0,2256384;675
199;660;0,0146581;169
57;127;0,0009962;19
