VERTICES;ARISTAS;TIEMPO;CORTE
494;586;0,040088;204
494;586;0,0422603;194
662;906;0,0516025;200
685;1282;0,0758843;371
130;715;0,0126437;221
292;958;0,0298199;284
85;219;0,0065277;2
39;46;0,0035398;2
49;59;0,010242;2
118;179;0,0111213;0
274;669;0,0340819;327
443;590;0,050792;123
48;176;0,0029374;0
132;1758;0,0130179;946
153;1135;0,0119692;579
420;3720;0,0324995;552
467;1295;0,0344643;359
110;254;0,0082299;55
420;3416;0,036057;544
144;576;0,0118835;232
161;608;0,0145321;262
292;1124;0,044987;519
445;1682;0,0561273;822
54;124;0,0057059;0
209;767;0,0176418;333
221;704;0,020683;277
117;162;0,0094443;0
245;608;0,0164581;238
310;1069;0,0240742;335
361;1296;0,0320081;372
419;1572;0,0365738;742
503;2762;0,045095;1349
592;2256;0,047354;1064
183;701;0,0149916;236
541;2466;0,0418666;1177
680;1464;0,050153;722
104;549;0,0103805;256
216;660;0,0173084;84
115;267;0,0103157;142
185;650;0,0149962;266
343;1092;0,0267481;150
512;1680;0,0350815;254
434;2138;0,0379368;610
32;90;0,0040496;2
206;557;0,0142389;218
59;281;0,0074599;0
137;352;0,0132704;206
425;1267;0,0324574;508
225;1187;0,0169568;544
123;275;0,0153346;43
503;1425;0,03644;309
147;1151;0,0097021;509
147;1147;0,0137205;564
487;41686;0,154248;20250
168;1662;0,0142096;888
261;794;0,0190103;332
666;2148;0,0598713;970
158;312;0,0123664;48
638;1272;0,0480511;184
100;247;0,007968;88
468;2352;0,0451022;1153
675;1290;0,0463534;192
362;2712;0,0283706;1149
362;880;0,0302722;154
30;103;0,0018129;0
456;1769;0,0349258;760
238;445;0,0160457;74
681;1373;0,0463634;196
546;1341;0,0439082;207
663;1720;0,046559;783
663;1709;0,0589375;841
663;1682;0,0479132;752
240;1761;0,0404543;854
600;6580;0,0776851;3289
80;424;0,0046077;1
363;3049;0,0319335;58
363;3244;0,0261194;51
363;3244;0,0291008;51
363;2446;0,0313074;44
132;404;0,0109484;147
156;371;0,0119561;167
167;489;0,0127763;237
381;2150;0,0299316;1004
479;1889;0,0373473;794
497;1715;0,0435525;617
655;2841;0,0533199;1379
199;660;0,0150206;320
57;127;0,0031656;0
